name,name_local,id,id_level,SO2,NOx,CO,NMVOC,NH3,PM,CH4,BC,OC
South Jakarta,Jakarta Selatan,IDN.7.3_1,2,22449.14349,24229.54009,781736.2914,411111.2968,1454.719144,19687.54569,3549.979206,2888.246823,15306.01542
East Jakarta,Jakarta Timur,IDN.7.4_1,2,17370.70245,18748.33807,604892.0539,318109.7762,1125.632852,15233.83279,2746.903575,2234.868168,11843.49148
Central Jakarta,Jakarta Pusat,IDN.7.2_1,2,1045.56139,1128.482769,36409.10771,19147.37188,67.7530602,916.9408911,165.3391005,134.5191349,712.8725764
West Jakarta,Jakarta Barat,IDN.7.1_1,2,13409.73973,14473.23932,466961.2544,245572.6425,868.9598832,11760.13079,2120.539575,1725.261286,9142.873678
North Jakarta,Jakarta Utara,IDN.7.5_1,2,12679.50638,13685.09263,441532.6712,232199.8749,821.6402856,11119.72763,2005.064648,1631.311414,8644.994418
Bogor,Kab. Bogor,IDN.9.5_1,2,"4,682","3,819","186,076","106,746",30.09699197,"5,042",340.936994,679.3424543,"3,979"
Sukabumi,Kab. Sukabumi,IDN.9.24_1,2,"1,547","1,262","61,493","35,276",9.946174801,"1,666",112.6696961,224.5027944,"1,315"
Cianjur,Kab. Cianjur,IDN.9.7_1,2,"1,308","1,067","51,968","29,812",8.405581799,"1,408",95.21794716,189.7288797,"1,111"
Karawang,Kab. Karawang,IDN.9.13_1,2,"2,489","2,030","98,904","56,738",15.99731103,"2,680",181.2166192,361.0876644,"2,115"
Purwakarta,Kab. Purwakarta,IDN.9.22_1,2,905.6263002,738.7802659,"35,992","20,647",5.821537637,975.2606199,65.94604352,131.4024229,769.5725616
Subang,Kab. Subang,IDN.9.23_1,2,"1,298","1,059","51,579","29,589",8.342665471,"1,398",94.50523461,188.3087467,"1,103"
Cirebon City,Kota Cirebon,IDN.9.17_1,2,529.4576204,431.9141808,"21,042","12,071",3.403454011,570.1680339,38.55413129,76.8219895,449.9163254
Cirebon,Kab. Cirebon ,IDN.9.9_1,2,"2,060","1,680","81,857","46,959",13.24008908,"2,218",149.9829676,298.8522781,"1,750"
Indramayu,Kab. Indramayu ,IDN.9.12_1,2,"1,525","1,244","60,603","34,766",9.802335119,"1,642",111.0402884,221.2560778,"1,296"
Kuningan,Kab. Kuningan,IDN.9.20_1,2,968.7107677,790.2425077,"38,499","22,086",6.22705656,"1,043",70.53973855,140.5557037,823.1797451
Bandung City,Kota Bandung ,IDN.9.14_1,2,"4,904","4,001","194,910","111,814",31.52578985,"5,281",357.1223342,711.592955,"4,168"
West Bandung,Kab Bandung Barat,IDN.9.1_1,2,"1,819","1,484","72,279","41,464",11.69085343,"1,959",132.4333153,263.8832835,"1,545"
Bandung,Kab. Bandung ,IDN.9.2_1,2,"3,217","2,624","127,840","73,338",20.67762188,"3,464",234.2349114,466.7305761,"2,733"
Sumedang,Kab. Sumedang,IDN.9.25_1,2,889.9667566,726.0057232,"35,370","20,290",5.72087512,958.3970016,64.80574431,129.1302915,756.2655771
Garut,Kab. Garut,IDN.9.11_1,2,"1,237","1,009","49,142","28,191",7.948513708,"1,332",90.04030611,179.4120428,"1,051"
Tasikmalaya City,Kota Tasikmalaya,IDN.9.19_1,2,713.1085046,581.7305554,"28,341","16,258",4.58399673,767.9399793,51.9272513,103.4689311,605.9770332
Tasikmalaya,Kab. Tasikmalaya,IDN.9.26_1,2,875.9015167,714.5317613,"34,811","19,970",5.63046109,943.2502743,63.78153938,127.0894865,744.3133815
Ciamis,Kab. Ciamis,IDN.9.6_1,2,817.3164664,666.7399966,"32,482","18,634",5.253865274,880.1605733,59.51548364,118.5890515,694.5296603
Pangandaran,Kab. Pangandaran,-,-,258.0975731,210.5475444,"10,257","5,884",1.659100156,277.9428988,18.79419114,37.44883119,219.3231473
Cimahi City,Kota Cimahi,IDN.9.8_1,2,886.7613078,723.3908231,"35,242","20,217",5.700269887,954.9450833,64.57232942,128.6651948,753.5416882
Banjar City,Kota Banjar,IDN.9.3_1,2,197.5589393,161.1621103,"7,852","4,504",1.269946335,212.7494017,14.38587903,28.66493969,167.8793327
Majalengka,Kab. Majalengka,IDN.9.21_1,2,"1,039",847.4291368,"41,285","23,684",6.677683261,"1,119",75.6444119,150.7271471,882.7499078
Depok City,Kota Depok ,IDN.9.10_1,2,"3,359","2,740","133,476","76,571",21.58912377,"3,617",244.5603524,487.3047893,"2,854"
Bekasi City,Kota Bekasi,IDN.9.15_1,2,"4,533","3,698","180,153","103,348",29.13892081,"4,882",330.084019,657.7170901,"3,852"
Bekasi,Kab. Bekasi ,IDN.9.4_1,2,"4,359","3,556","173,222","99,372",28.01795645,"4,694",317.3857991,632.4149375,"3,704"
Bogor City,Kota Bogor,IDN.9.16.1,2,"1,371","1,118","54,469","31,247",8.810144437,"1,476",99.80080945,198.8605755,"1,165"
Sukabumi City,Kota Sukabumi,IDN.9.18_1,2,362.720952,295.8958693,"14,415","8,270",2.33163908,390.6108517,26.41267339,52.62922677,308.2287828
Pandeglang,Kab. Pandeglang,IDN.4.5_1,2,689.7971433,742.0584796,"28,688","15,102",48.5196538,694.0589757,122.684542,79.70269358,557.037865
Lebak,Kab. Lebak,IDN.4.4_1,2,818.4471659,880.4554578,"34,038","17,918",57.56877008,823.5038476,145.5657169,94.56757586,660.9277326
Tangerang,Kab. Tangerang,IDN.4.8_1,2,"4,557","4,902","189,505","99,758",320.5074662,"4,585",810.4202859,526.4940364,"3,680"
Serang,Kab. Serang,IDN.4.6_1,2,"1,335","1,437","55,542","29,238",93.93701298,"1,344",237.524766,154.3092824,"1,078"
Tangerang City,Kota Tangerang,IDN.4.3_1,2,"4,011","4,315","166,805","87,808",282.1144255,"4,036",713.3414272,463.4262171,"3,239"
Cilegon City,Kota Cilegon,IDN.4.1_1,2,662.8417638,713.0608705,"27,567","14,512",46.62363887,666.9370555,117.8903668,76.58813103,535.2703538
Serang City,Kota Serang,IDN.4.2_1,2,723.9440676,778.792489,"30,108","15,849",50.92151493,728.4168729,128.7577765,83.64820405,584.6128267
South Tangerang City,Kota Tangerang Selatan,IDN.4.7_1,2,"3,033","3,262","126,124","66,394",213.3124785,"3,051",539.3720211,350.4060269,"2,449"
West Lampung,Kab. Lampung Barat,IDN.17.2_1,2,412.5076575,365.9563777,"14,277","7,839",12.0371143,371.9223878,41.52568471,50.85856666,292.5096122
Tanggamis,Kab. Tanggamus,IDN.17.11_1,2,976.8433448,866.607069,"33,809","18,562",28.50462235,880.7349454,98.33535937,120.4361942,692.6806394
South Lampung,Kab. Lampung Selatan,IDN.17.3_1,2,"1,676","1,487","58,009","31,850",48.90871455,"1,511",168.7254777,206.646465,"1,189"
East Lampung,Kab. Lampung Timur,IDN.17.5_1,2,"1,271","1,127","43,973","24,143",37.07439084,"1,146",127.8993807,156.6447182,900.9315205
Central Lampung,Kab. Lampung Tengah,IDN.17.4_1,2,"2,074","1,840","71,769","39,404",60.50976688,"1,870",208.7468341,255.6626062,"1,470"
North Lampung,Kab. Lampung Utara,IDN.17.6_1,2,702.1260283,622.8914623,"24,301","13,342",20.48827725,633.046161,70.68054022,86.56596494,497.8783025
Way Kanan,Kab. Way Kanan,IDN.17.14_1,2,433.2142252,384.3262197,"14,994","8,232",12.64133902,390.5917045,43.61014153,53.41150437,307.1926611
Tulang Bawang,Kab. Tulang Bawang,IDN.17.13_1,2,910.4032597,807.6647138,"31,509","17,300",26.56587798,820.8316815,91.64707135,112.244716,645.5679055
Pesawaran,Kab. Pesawaran,IDN.17.9_1,2,367.047717,325.6265684,"12,704","6,975",10.71057771,330.935101,36.94939352,45.25375576,260.2739208
Pringsewu,Kab. Pringsewu,IDN.17.10_1,2,350.4234839,310.8783716,"12,128","6,659",10.22547692,315.9464715,35.27589087,43.20413401,248.4856597
Mesuji,Kab. Mesuji,IDN.17.7_1,2,164.7962816,146.1991048,"5,704","3,132",4.808811767,148.5825182,16.58945793,20.31793233,116.857216
West Tulang Bawang,Kab. Tulang Bawang Barat,IDN.17.12_1,2,197.305735,175.0398829,"6,829","3,749",5.757448717,177.8934736,19.86206945,24.32606205,139.9097034
Pesisir Barat,Kab. Pesisir Barat,-,-,33.26623083,29.51215356,"1,151",632.1405449,0.970719974,29.99327594,3.348793623,4.101433724,23.58911914
Bandar Lampung City,Kota Bandar Lampung,IDN.17.1_1,2,"3,283","2,912","113,613","62,379",95.7892122,"2,960",330.4540046,404.7234173,"2,328"
Metro City,Kota Metro,IDN.17.8_1,2,344.0956876,305.2646638,"11,909","6,539",10.04082966,310.2412462,34.63889402,42.42397237,243.9986127
Cilacap,Kab. Cilacap,IDN.10.7_1,2,"2,844","2,703","110,168","61,286",92.62438508,"2,914",321.7153261,410.1435908,"2,282"
Banyumas,Kab. Banyumas,IDN.10.2_1,2,"2,736","2,600","105,975","58,954",89.09981979,"2,803",309.4733374,394.5367086,"2,196"
Purbalingga,Kab. Purbalingga,IDN.10.24_1,2,"1,385","1,316","53,663","29,853",45.11758918,"1,419",156.7084079,199.7820554,"1,112"
Banjarnegara,Kab. Banjarnegara,IDN.10.1_1,2,"1,246","1,184","48,261","26,848",40.57591958,"1,277",140.9336773,179.6714045,"1,000"
Kebumen,Kab. Kebumen,IDN.10.12_1,2,"1,844","1,752","71,425","39,734",60.05163145,"1,889",208.5793085,265.9104483,"1,480"
Purworejo,Kab. Purworejo,IDN.10.25_1,2,"1,143","1,086","44,281","24,633",37.22961817,"1,171",129.3108585,164.8538802,917.3923759
Wonosobo,Kab. Wonosobo,IDN.10.36_1,2,"1,042",989.7299277,"40,346","22,445",33.92144053,"1,067",117.8204562,150.2051691,835.8740285
Magelang,Kab. Magelang,IDN.10.20_1,2,"1,902","1,807","73,673","40,984",61.9409933,"1,949",215.1416913,274.2765999,"1,526"
Boyolali,Kab. Boyolali,IDN.10.5_1,2,"1,829","1,738","70,855","39,417",59.57226045,"1,874",206.9142935,263.7877789,"1,468"
Klaten,Kab. Klaten,IDN.10.14_1,2,"2,750","2,613","106,514","59,254",89.55295129,"2,817",311.047214,396.5431887,"2,207"
Sukoharjo,Kab. Sukoharjo,IDN.10.30_1,2,"2,069","1,966","80,164","44,595",67.39869217,"2,120",234.0980964,298.4434563,"1,661"
Wonogiri,Kab. Wonogiri,IDN.10.35_1,2,"1,496","1,422","57,960","32,243",48.73028625,"1,533",169.2565075,215.7791878,"1,201"
Karanganyar,Kab. Karanganyar,IDN.10.11_1,2,"1,864","1,772","72,222","40,177",60.72103293,"1,910",210.9043627,268.8745783,"1,496"
Sragen,Kab. Sragen,IDN.10.29_1,2,"2,047","1,946","79,309","44,119",66.67975333,"2,098",231.6009825,295.2599733,"1,643"
Grobogan,Kab. Grobogan,IDN.10.9_1,2,"2,113","2,008","81,869","45,544",68.83233387,"2,165",239.0776113,304.7916653,"1,696"
Blora,Kab. Blora,IDN.10.4_1,2,"1,403","1,333","54,336","30,227",45.68344464,"1,437",158.6738123,202.2876806,"1,126"
Rembang,Kab. Rembang,IDN.10.26_1,2,990.4560786,941.2229098,"38,369","21,344",32.25893859,"1,015",112.0460334,142.84356,794.9075433
Pati,Kab. Pati,IDN.10.21_1,2,"2,400","2,281","92,982","51,725",78.17512645,"2,459",271.5282404,346.1618346,"1,926"
Kudus,Kab. Kudus,IDN.10.19_1,2,"1,872","1,779","72,505","40,335",60.95965944,"1,918",211.733192,269.9312238,"1,502"
Jepara,Kab. Jepara,IDN.10.10_1,2,"2,283","2,170","88,440","49,199",74.35698466,"2,339",258.2665628,329.2549868,"1,832"
Demak,Kab. Demak,IDN.10.8_1,2,"1,982","1,884","76,789","42,718",64.56106058,"2,031",224.2420572,285.8783374,"1,591"
Semarang,Kab. Semarang,IDN.10.28_1,2,"1,898","1,804","73,523","40,901",61.81509076,"1,945",214.7043898,273.7190996,"1,523"
Temanggung,Kab. Temanggung,IDN.10.33_1,2,"1,043",990.7152425,"40,386","22,467",33.95521065,"1,068",117.937751,150.3547042,836.7061738
Kendal,Kab. Kendal,IDN.10.13_1,2,"1,814","1,724","70,289","39,101",59.0958311,"1,859",205.2594957,261.6781352,"1,456"
Batang,Kab. Batang,IDN.10.3_1,2,"1,210","1,150","46,885","26,082",39.41879282,"1,240",136.9145908,174.547612,971.3368488
Pekalongan,Kab. Pekalongan,IDN.10.22_1,2,"1,471","1,398","56,971","31,693",47.89921178,"1,507",166.3699092,212.0991648,"1,180"
Pemalang,Kab. Pemalang,IDN.10.23_1,2,"1,937","1,841","75,053","41,752",63.10176771,"1,985",219.1734472,279.4165443,"1,555"
Tegal,Kab. Tegal,IDN.10.32_1,2,"2,197","2,088","85,108","47,345",71.55535884,"2,251",248.5355836,316.8493026,"1,763"
Brebes,Kab. Brebes,IDN.10.6_1,2,"2,188","2,079","84,762","47,153",71.26413566,"2,242",247.5240686,315.5597575,"1,756"
Surakarta City,Kota Surakarta,IDN.10.31_1,2,"1,993","1,894","77,198","42,945",64.9053511,"2,042",225.4378928,287.4028663,"1,599"
Salatiga City,Kota Salatiga,IDN.10.27_1,2,514.8650503,489.2723577,"19,945","11,095",16.76904246,527.5543739,58.24446726,74.25382942,413.2137922
